InputID,TargetID,Distance
64137,Airport (MCI),43578.20019
64137,The Plaza,12966.29244
64137,Power and Light,18828.46334
64137,The Legands,32812.70967
64137,Lee's Summit,13896.85284
64055,Airport (MCI),39085.83082
64055,The Plaza,16754.01088
64055,Power and Light,16681.36305
64055,The Legands,38300.16265
64055,Lee's Summit,15085.20188
64136,Airport (MCI),41916.82794
64136,The Plaza,16756.80524
64136,Power and Light,18178.97538
64136,The Legands,39117.21843
64136,Lee's Summit,11033.5683
64165,Airport (MCI),12303.33537
64165,The Plaza,30938.7682
64165,Power and Light,24634.59855
64165,The Legands,30953.80366
64165,Lee's Summit,48036.84083
64112,Airport (MCI),31173.16452
64112,The Plaza,766.4014422
64112,Power and Light,7093.548332
64112,The Legands,22619.30735
64112,Lee's Summit,22688.89922
64625,Airport (MCI),92633.75549
64625,The Plaza,103222.3807
64625,Power and Light,97919.76734
64625,The Legands,111976.213
64625,Lee's Summit,104652.5874
64153,Airport (MCI),2530.588958
64153,The Plaza,29015.66296
64153,Power and Light,23936.44907
64153,The Legands,19363.75703
64153,Lee's Summit,50432.66567
64093,Airport (MCI),102378.9908
64093,The Plaza,79633.91673
64093,Power and Light,81180.84583
64093,The Legands,102201.6835
64093,Lee's Summit,58267.03766
64048,Airport (MCI),34471.53021
64048,The Plaza,48793.639
64048,Power and Light,42704.45963
64048,The Legands,53808.30458
64048,Lee's Summit,58775.31455
64065,Airport (MCI),47231.03662
64065,The Plaza,19092.36111
64065,Power and Light,22390.7514
64065,The Legands,41585.09701
64065,Lee's Summit,4404.500779
64081,Airport (MCI),50878.93881
64081,The Plaza,21589.08508
64081,Power and Light,25727.56935
64081,The Legands,43563.50884
64081,Lee's Summit,2296.733339
64015,Airport (MCI),47540.31211
64015,The Plaza,25327.98102
64015,Power and Light,25776.22017
64015,The Legands,47313.52561
64015,Lee's Summit,13791.67073
64624,Airport (MCI),85792.984
64624,The Plaza,91108.18084
64624,Power and Light,86429.89357
64624,The Legands,103005.417
64624,Lee's Summit,89392.86935
64116,Airport (MCI),20868.1773
64116,The Plaza,11905.79987
64116,Power and Light,5559.036791
